This is a plaintext list of all [365] speaking parts in the Gabler edition. 

An excellent project would be preparing the listPerson from this data.

========================================================================================

aa	Almidano Artifoni
The Buckles
The Button
The Call
The Cap
The Chapel of Freeman Typesetters
The Children
The Chimes
The Choir
The Circumcised
The Crier
The Croppy Boy
The Crowd
The Dark Mercury
The Daughters of Erin
The Doorhandle
The Dummymummy
The End of the World
The Fan
The Figure
The Fire Brigade
The Flybill
The Gaffer
The Gasjet
The Gong
The Gramophone
The Green Lodges
The Gulls
The Halcyon Days
The Hobgoblin
The Hoof
The Horse
The Hue and Cry
The Idiot
The Irish Evicted Tenants
The Jurors
The Kisses
The Loiterers
The Male Brutes
The Man in the Macintosh
The Mob
The Moth
The Motorman
The Nannygoat
The Navvy
The Nymph
The Orange Lodges
The Peers
The Pianola
The Prison Gate Girls
The Quoits
The Retriever
The Shebeenkeeper
The Sightseers
The Sins of the Past
The Sluts
The Sluts and Ragamuffins
The Soap
The Timepiece
The Torchbearers
The Urchins
The Veiled Sibyl
The Virago
The Voice of All the Blessed
The Voice of All the Damned
The Waterfall
The Whores
The Women
The Wreaths
The Yews
Sam Bohee
Tom Bohee
Tutti
urchin
Voices
William Alexander
